SURVEY_OPS,image_key,ranSel_key,CONCEPT,Count,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,Z,CONCEPT - OLD (note this was extract with some QC already done) - filling on Photos,SubstConc (17-7-19),IMAGE_NO,KEY_1,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,Dens
IN2018_V06_176,176_0112,176_009,Hydrocorals,1,16/12/2018 9:42,IN2018_V06_176,1b,1b,St Helens,66,148.7557385,-41.23041676,661.6825,Coral rubble,Coral rubble,112,176_0112,7.096933296,9,QT,1,9,NA,0.14090593194156464
IN2018_V06_176,176_0112,176_009,Sponges,2,16/12/2018 9:42,IN2018_V06_176,1b,1b,St Helens,66,148.7557385,-41.23041676,661.6825,Coral rubble,Coral rubble,112,176_0112,7.096933296,9,QT,1,9,NA,0.2818118638831293
IN2018_V06_041,041_0413,041_032,Regular urchins,1,28/11/2018 13:48,IN2018_V06_041,1,1,z16,50,147.0575316,-44.2892968,1427.06,Pebble - gravel,Pebble - gravel,413,041_0413,7.357189707,32,QT,1,32,NA,0.13592146455711884
IN2018_V06_185,185_0277,185_009,True anemones: Fourlobed,1,17/12/2018 8:30,IN2018_V06_185,1b,1b,St Helens,71,148.7529659,-41.23679118,814.05,Rock,Rock,277,185_0277,7.14005428,9,QT,1,9,MG-Q,0.1400549576774366
IN2018_V06_185,185_0277,185_009,Hydrocorals,1,17/12/2018 8:30,IN2018_V06_185,1b,1b,St Helens,71,148.7529659,-41.23679118,814.05,Rock,Rock,277,185_0277,7.14005428,9,QT,1,9,MG-Q,0.1400549576774366
IN2018_V06_185,185_0277,185_009,Regular urchins,1,17/12/2018 8:30,IN2018_V06_185,1b,1b,St Helens,71,148.7529659,-41.23679118,814.05,Rock,Rock,277,185_0277,7.14005428,9,QT,1,9,MG-Q,0.1400549576774366
IN2018_V06_167,167_0245,167_049,Sponges,3,14/12/2018 18:18,IN2018_V06_167,1b,1b,Punch's Hill,51,147.1985367,-44.1893009,1037.076,Rock,Coral rubble,245,167_0245,2.476607228,49,QT,1,49,NA,1.2113345895476002
IN2018_V06_177,177_0397,177_044,No-VMEfauna,0,16/12/2018 12:49,IN2018_V06_177,1b,1b,St Helens,68,148.7561437,-41.22010242,878.835,Rock,Coral rubble,397,177_0397,3.519908804,NA,QT-2,2,44,NA,0
IN2018_V06_059,059_0314,059_020,Sponges,7,1/12/2018 4:33,IN2018_V06_059,fished,1c,Sisters,56,147.2294622,-44.26334594,1215.357143,Coral rubble,Coral rubble,314,059_0314,11.6764904,20,QT,1,20,NA,0.5994952044837034
IN2018_V06_059,059_0314,059_020,Solenosmilia matrix,10,1/12/2018 4:33,IN2018_V06_059,fished,1c,Sisters,56,147.2294622,-44.26334594,1215.357143,Coral rubble,Coral rubble,314,059_0314,11.6764904,20,QT,1,20,NA,0.8564217206910049
IN2018_V06_059,059_0314,059_020,Hydrocorals,1,1/12/2018 4:33,IN2018_V06_059,fished,1c,Sisters,56,147.2294622,-44.26334594,1215.357143,Coral rubble,Coral rubble,314,059_0314,11.6764904,20,QT,1,20,NA,0.08564217206910049
IN2018_V06_059,059_0314,059_020,S.variabilis,1,1/12/2018 4:33,IN2018_V06_059,fished,1c,Sisters,56,147.2294622,-44.26334594,1215.357143,Coral rubble,Coral rubble,314,059_0314,11.6764904,20,QT,1,20,NA,0.08564217206910049
IN2018_V06_093,093_0051,093_020,Unstalked crinoids,32,6/12/2018 20:13,IN2018_V06_093,1b,1b,Fang,20,146.1648892,-44.20640093,880.125,Coral reef substrate,Coral rubble,51,093_0051,1.447579548,20,QT,1,20,NA,22.105866336818405
IN2018_V06_093,093_0051,093_020,Hydrocorals,1,6/12/2018 20:13,IN2018_V06_093,1b,1b,Fang,20,146.1648892,-44.20640093,880.125,Coral reef substrate,Coral rubble,51,093_0051,1.447579548,20,QT,1,20,NA,0.6908083230255752
IN2018_V06_093,093_0051,093_020,Sponges,43,6/12/2018 20:13,IN2018_V06_093,1b,1b,Fang,20,146.1648892,-44.20640093,880.125,Coral reef substrate,Coral rubble,51,093_0051,1.447579548,20,QT,1,20,NA,29.704757890099728
IN2018_V06_103,103_0426,103_032,No-VMEfauna,0,8/12/2018 3:50,IN2018_V06_103,2,5,slope,60,146.6736199,-44.09806446,554.1071429,Pebble - gravel,Pebble - gravel,426,103_0426,1.854684449,32,QT,1,32,NA,0
IN2018_V06_075,075_0317,075_012,Hydrocorals,1,4/12/2018 0:35,IN2018_V06_075,1b,1b,Main Matt,66,146.1788711,-44.21513731,895.18,cobble - boulder,Rock,317,075_0317,2.82727074,12,QT,1,12,NA,0.3536979978083033
IN2018_V06_075,075_0317,075_012,Sponges,18,4/12/2018 0:35,IN2018_V06_075,1b,1b,Main Matt,66,146.1788711,-44.21513731,895.18,cobble - boulder,Rock,317,075_0317,2.82727074,12,QT,1,12,NA,6.36656396054946
IN2018_V06_075,075_0317,075_012,Black & Octocorals,3,4/12/2018 0:35,IN2018_V06_075,1b,1b,Main Matt,66,146.1788711,-44.21513731,895.18,cobble - boulder,Rock,317,075_0317,2.82727074,12,QT,1,12,NA,1.06109399342491
IN2018_V06_075,075_0317,075_012,Regular urchins,1,4/12/2018 0:35,IN2018_V06_075,1b,1b,Main Matt,66,146.1788711,-44.21513731,895.18,cobble - boulder,Rock,317,075_0317,2.82727074,12,QT,1,12,NA,0.3536979978083033
IN2018_V06_075,075_0317,075_012,Unstalked crinoids,4,4/12/2018 0:35,IN2018_V06_075,1b,1b,Main Matt,66,146.1788711,-44.21513731,895.18,cobble - boulder,Rock,317,075_0317,2.82727074,12,QT,1,12,NA,1.4147919912332132
IN2018_V06_083,083_0410,083_150,Sponges,13,5/12/2018 20:32,IN2018_V06_083,1b,1b,Main Matt,83,146.2039359,-44.21358498,919.0666667,Rock,Rock,410,083_0410,1.600009957,150,QT-2,2,22,NA,8.124949437424032
IN2018_V06_084,084_0116,084_050,Sponges,1,5/12/2018 23:06,IN2018_V06_084,1b,1b,Main Matt,81,146.1942022,-44.21710569,766.63125,Coral rubble,Coral rubble,116,084_0116,6.005798153,50,QT,1,50,NA,0.16650576235241651
IN2018_V06_063,063_0392,063_026,Unstalked crinoids,1,1/12/2018 13:43,IN2018_V06_063,1a,1a,z16,43,147.0656617,-44.2816387,1412.5,Coral rubble,Coral rubble,392,063_0392,4.723285049,26,QT,1,26,NA,0.21171705489418155
IN2018_V06_063,063_0392,063_026,Solenosmilia matrix,5,1/12/2018 13:43,IN2018_V06_063,1a,1a,z16,43,147.0656617,-44.2816387,1412.5,Coral rubble,Coral rubble,392,063_0392,4.723285049,26,QT,1,26,NA,1.0585852744709077
IN2018_V06_063,063_0392,063_026,Hydrocorals,1,1/12/2018 13:43,IN2018_V06_063,1a,1a,z16,43,147.0656617,-44.2816387,1412.5,Coral rubble,Coral rubble,392,063_0392,4.723285049,26,QT,1,26,NA,0.21171705489418155
IN2018_V06_063,063_0392,063_026,Regular urchins,5,1/12/2018 13:43,IN2018_V06_063,1a,1a,z16,43,147.0656617,-44.2816387,1412.5,Coral rubble,Coral rubble,392,063_0392,4.723285049,26,QT,1,26,NA,1.0585852744709077
IN2018_V06_063,063_0392,063_026,D.horridus,1,1/12/2018 13:43,IN2018_V06_063,1a,1a,z16,43,147.0656617,-44.2816387,1412.5,Coral rubble,Coral rubble,392,063_0392,4.723285049,26,QT,1,26,NA,0.21171705489418155
IN2018_V06_174,174_0274,174_017,Black & Octocorals,2,16/12/2018 6:15,IN2018_V06_174,1b,1b,St Helens,77,148.7636144,-41.22275977,828.08,Rock,cobble - boulder,274,174_0274,2.064017816,17,QT,1,17,NA,0.9689838840034509
IN2018_V06_174,174_0274,174_017,Hydrocorals,1,16/12/2018 6:15,IN2018_V06_174,1b,1b,St Helens,77,148.7636144,-41.22275977,828.08,Rock,cobble - boulder,274,174_0274,2.064017816,17,QT,1,17,NA,0.48449194200172546
IN2018_V06_174,174_0274,174_017,Sponges,4,16/12/2018 6:15,IN2018_V06_174,1b,1b,St Helens,77,148.7636144,-41.22275977,828.08,Rock,cobble - boulder,274,174_0274,2.064017816,17,QT,1,17,NA,1.9379677680069018
IN2018_V06_121,121_0142,121_004,Regular urchins,8,9/12/2018 13:20,IN2018_V06_121,fished,3,Belinda's Dory Hill,18,147.1179618,-44.38362979,1369.297143,Rock,Rock,142,121_0142,3.46023987,4,QT,1,4,NA,2.311978446742769
IN2018_V06_121,121_0142,121_004,D.horridus,1,9/12/2018 13:20,IN2018_V06_121,fished,3,Belinda's Dory Hill,18,147.1179618,-44.38362979,1369.297143,Rock,Rock,142,121_0142,3.46023987,4,QT,1,4,NA,0.2889973058428461
IN2018_V06_121,121_0142,121_004,Sponges,2,9/12/2018 13:20,IN2018_V06_121,fished,3,Belinda's Dory Hill,18,147.1179618,-44.38362979,1369.297143,Rock,Rock,142,121_0142,3.46023987,4,QT,1,4,NA,0.5779946116856922
IN2018_V06_174,174_0408,174_072,No-VMEfauna,0,16/12/2018 6:26,IN2018_V06_174,1b,1b,St Helens,77,148.765169,-41.21974484,912.1,Pebble - gravel,Pebble - gravel,408,174_0408,1.351659687,72,QT,1,72,NA,0
IN2018_V06_095,095_0350,095_036,Sponges,1,7/12/2018 1:30,IN2018_V06_095,1,1,z99,66,146.2272994,-44.26303584,1511.6875,Sand - mud (<2mm),Sand - mud (<2mm),350,095_0350,3.517320204,36,QT,1,36,NA,0.28430735389481193
IN2018_V06_116,116_0222,116_052,Hydrocorals,1,9/12/2018 3:25,IN2018_V06_116,1,1,Hill U,83,147.1752106,-44.32562613,1261.1,Coral rubble,Coral rubble,222,116_0222,7.266588227,52,QT,1,52,NA,0.13761616438982516
IN2018_V06_116,116_0222,116_052,Solenosmilia matrix,10,9/12/2018 3:25,IN2018_V06_116,1,1,Hill U,83,147.1752106,-44.32562613,1261.1,Coral rubble,Coral rubble,222,116_0222,7.266588227,52,QT,1,52,NA,1.3761616438982514
IN2018_V06_116,116_0222,116_052,Black & Octocorals,3,9/12/2018 3:25,IN2018_V06_116,1,1,Hill U,83,147.1752106,-44.32562613,1261.1,Coral rubble,Coral rubble,222,116_0222,7.266588227,52,QT,1,52,NA,0.4128484931694754
IN2018_V06_116,116_0222,116_052,Sponges,2,9/12/2018 3:25,IN2018_V06_116,1,1,Hill U,83,147.1752106,-44.32562613,1261.1,Coral rubble,Coral rubble,222,116_0222,7.266588227,52,QT,1,52,NA,0.2752323287796503
IN2018_V06_075,075_0153,075_010,Black & Octocorals,19,4/12/2018 0:21,IN2018_V06_075,1b,1b,Main Matt,66,146.184321,-44.21525612,785.6885714,Rock,Rock,153,075_0153,14.27431163,10,QT,1,10,NA,1.3310624352678504
IN2018_V06_075,075_0153,075_010,Sponges,3,4/12/2018 0:21,IN2018_V06_075,1b,1b,Main Matt,66,146.184321,-44.21525612,785.6885714,Rock,Rock,153,075_0153,14.27431163,10,QT,1,10,NA,0.21016775293702902
IN2018_V06_075,075_0153,075_010,Hydrocorals,1,4/12/2018 0:21,IN2018_V06_075,1b,1b,Main Matt,66,146.184321,-44.21525612,785.6885714,Rock,Rock,153,075_0153,14.27431163,10,QT,1,10,NA,0.07005591764567634
IN2018_V06_172,172_0603,172_046,Black & Octocorals,1,16/12/2018 1:39,IN2018_V06_172,1b,1b,St Helens,79,148.7755355,-41.23857412,1010.226667,Rock,Rock,603,172_0603,6.113498557,46,QT,1,46,NA,0.16357246029852954
IN2018_V06_172,172_0603,172_046,Sponges,1,16/12/2018 1:39,IN2018_V06_172,1b,1b,St Helens,79,148.7755355,-41.23857412,1010.226667,Rock,Rock,603,172_0603,6.113498557,46,QT,1,46,NA,0.16357246029852954
IN2018_V06_172,172_0603,172_046,Regular urchins,1,16/12/2018 1:39,IN2018_V06_172,1b,1b,St Helens,79,148.7755355,-41.23857412,1010.226667,Rock,Rock,603,172_0603,6.113498557,46,QT,1,46,NA,0.16357246029852954
IN2018_V06_172,172_0603,172_046,Hydrocorals,1,16/12/2018 1:39,IN2018_V06_172,1b,1b,St Helens,79,148.7755355,-41.23857412,1010.226667,Rock,Rock,603,172_0603,6.113498557,46,QT,1,46,NA,0.16357246029852954
IN2018_V06_176,176_0579,176_060,Sponges,1,16/12/2018 10:23,IN2018_V06_176,1b,1b,St Helens,66,148.7394865,-41.22875845,946.4857143,Pebble - gravel,Coral rubble,579,176_0579,1.854698068,NA,QT-2,2,60,NA,0.5391713170210732
IN2018_V06_176,176_0579,176_060,Hydrocorals,1,16/12/2018 10:23,IN2018_V06_176,1b,1b,St Helens,66,148.7394865,-41.22875845,946.4857143,Pebble - gravel,Coral rubble,579,176_0579,1.854698068,NA,QT-2,2,60,NA,0.5391713170210732
IN2018_V06_166,166_0670,166_125,No-VMEfauna,0,14/12/2018 15:57,IN2018_V06_166,1,1,z8,70,147.3073959,-44.19644529,1295.753333,Pebble - gravel,Pebble - gravel,670,166_0670,3.119840418,125,QT-2,2,61,NA,0
IN2018_V06_172,172_0488,172_004,No-VMEfauna,0,16/12/2018 1:29,IN2018_V06_172,1b,1b,St Helens,79,148.7724187,-41.23664429,936.4222222,Sand - mud (<2mm),Pebble - gravel,488,172_0488,5.038157333,4,QT,1,4,NA,0
IN2018_V06_084,084_0370,084_188,No-VMEfauna,0,5/12/2018 23:28,IN2018_V06_084,1b,1b,Main Matt,81,146.199578,-44.22148913,948.205,Sand - mud (<2mm),Sand - mud (<2mm),370,084_0370,6.115912003,188,QT-2,2,60,NA,0
IN2018_V06_083,083_0790,083_071,Regular urchins,1,5/12/2018 21:04,IN2018_V06_083,1b,1b,Main Matt,83,146.2151157,-44.21226299,1095.2,Rock,Pebble - gravel,790,083_0790,6.589740568,71,QT,1,71,NA,0.1517510423484702
IN2018_V06_083,083_0790,083_071,Black & Octocorals,2,5/12/2018 21:04,IN2018_V06_083,1b,1b,Main Matt,83,146.2151157,-44.21226299,1095.2,Rock,Pebble - gravel,790,083_0790,6.589740568,71,QT,1,71,NA,0.3035020846969404
IN2018_V06_133,133_0245,133_034,Hydrocorals,1,10/12/2018 18:14,IN2018_V06_133,2,2,slope,63,147.3266119,-44.0950512,886.4875,Rock,Rock,245,133_0245,2.616089509,34,QT,1,34,NA,0.38224991788688834
IN2018_V06_133,133_0245,133_034,Black & Octocorals,9,10/12/2018 18:14,IN2018_V06_133,2,2,slope,63,147.3266119,-44.0950512,886.4875,Rock,Rock,245,133_0245,2.616089509,34,QT,1,34,NA,3.440249260981995
IN2018_V06_133,133_0245,133_034,Unstalked crinoids,2,10/12/2018 18:14,IN2018_V06_133,2,2,slope,63,147.3266119,-44.0950512,886.4875,Rock,Rock,245,133_0245,2.616089509,34,QT,1,34,NA,0.7644998357737767
IN2018_V06_054,054_0462,054_012,No-VMEfauna,0,30/11/2018 14:05,IN2018_V06_054,1,1,Hill K1,48,147.376116,-44.28563026,1720.244444,Sand - mud (<2mm),Sand - mud (<2mm),462,054_0462,9.185560731,12,QT,1,12,NA,0
IN2018_V06_179,179_0143,179_041,Sponges,2,16/12/2018 16:51,IN2018_V06_179,1b,1b,St Helens,70,148.7555608,-41.22838574,731.10625,Coral rubble,Coral rubble,143,179_0143,1.52211192,41,QT,1,41,MG-Q,1.3139638246837986
IN2018_V06_025,025_0283,025_022,Regular urchins,3,26/11/2018 10:25,IN2018_V06_025,fished,1c,Pedra,63,147.1007329,-44.25118009,974.95,Rock,Rock,283,025_0283,6.399245487,22,QT,1,22,NA,0.46880526869839084
IN2018_V06_025,025_0283,025_022,Hydrocorals,1,26/11/2018 10:25,IN2018_V06_025,fished,1c,Pedra,63,147.1007329,-44.25118009,974.95,Rock,Rock,283,025_0283,6.399245487,22,QT,1,22,NA,0.1562684228994636
IN2018_V06_025,025_0283,025_022,Sponges,2,26/11/2018 10:25,IN2018_V06_025,fished,1c,Pedra,63,147.1007329,-44.25118009,974.95,Rock,Rock,283,025_0283,6.399245487,22,QT,1,22,NA,0.3125368457989272
IN2018_V06_041,041_0459,041_044,Regular urchins,3,28/11/2018 13:52,IN2018_V06_041,1,1,z16,50,147.0565194,-44.28930237,1422.2,Pebble - gravel,Pebble - gravel,459,041_0459,6.018072487,44,QT,1,44,NA,0.49849848211042325
IN2018_V06_174,174_0741,174_038,No-VMEfauna,0,16/12/2018 6:55,IN2018_V06_174,1b,1b,St Helens,77,148.7679624,-41.21319176,1063.8,Pebble - gravel,Pebble - gravel,741,174_0741,1.861955766,NA,QT-2,2,38,NA,0
IN2018_V06_108,108_0088,108_034,Sponges,1,8/12/2018 10:07,IN2018_V06_108,2,4,slope,59,146.768998,-44.14865336,667.1,Rock,Rock,88,108_0088,3.915578204,34,QT,1,34,NA,0.255390123220739
IN2018_V06_108,108_0088,108_034,Hydrocorals,1,8/12/2018 10:07,IN2018_V06_108,2,4,slope,59,146.768998,-44.14865336,667.1,Rock,Rock,88,108_0088,3.915578204,34,QT,1,34,NA,0.255390123220739
IN2018_V06_055,055_0528,055_032,No-VMEfauna,0,30/11/2018 16:49,IN2018_V06_055,1,1,Hill K1,60,147.3758133,-44.30210952,1890.175,Sand - mud (<2mm),Sand - mud (<2mm),528,055_0528,12.54083402,32,QT,1,32,NA,0
IN2018_V06_083,083_0011,083_088,Sponges,2,5/12/2018 19:58,IN2018_V06_083,1b,1b,Main Matt,83,146.191088,-44.21394126,648.0285714,Rock,Coral rubble,11,083_0011,3.585137755,88,QT,1,88,NA,0.5578586198565751
IN2018_V06_083,083_0011,083_088,Black & Octocorals,13,5/12/2018 19:58,IN2018_V06_083,1b,1b,Main Matt,83,146.191088,-44.21394126,648.0285714,Rock,Coral rubble,11,083_0011,3.585137755,88,QT,1,88,NA,3.626081029067738
IN2018_V06_092,092_0043,092_159,Sponges,11,6/12/2018 19:03,IN2018_V06_092,1b,1b,Main Matt,66,146.1893561,-44.21481974,690.6731092,Coral rubble,Coral rubble,43,092_0043,2.699379994,159,QT-2,2,31,NA,4.075009826126762
IN2018_V06_092,092_0639,092_054,Black & Octocorals,3,6/12/2018 19:54,IN2018_V06_092,1b,1b,Main Matt,66,146.171677,-44.20832219,1024.764286,Barnacle plates,Barnacle plates,639,092_0639,2.981655202,54,QT,1,54,NA,1.0061525551269963
IN2018_V06_092,092_0639,092_054,Hydrocorals,1,6/12/2018 19:54,IN2018_V06_092,1b,1b,Main Matt,66,146.171677,-44.20832219,1024.764286,Barnacle plates,Barnacle plates,639,092_0639,2.981655202,54,QT,1,54,NA,0.3353841850423321
IN2018_V06_176,176_0184,176_023,Unstalked crinoids,1,16/12/2018 9:49,IN2018_V06_176,1b,1b,St Helens,66,148.7526765,-41.23009302,703.1775,Rock,Rock,184,176_0184,2.660161,23,QT,1,23,NA,0.3759170967471518
IN2018_V06_176,176_0184,176_023,True anemones: Fourlobed,2,16/12/2018 9:49,IN2018_V06_176,1b,1b,St Helens,66,148.7526765,-41.23009302,703.1775,Rock,Rock,184,176_0184,2.660161,23,QT,1,23,NA,0.7518341934943036
IN2018_V06_176,176_0184,176_023,Hydrocorals,1,16/12/2018 9:49,IN2018_V06_176,1b,1b,St Helens,66,148.7526765,-41.23009302,703.1775,Rock,Rock,184,176_0184,2.660161,23,QT,1,23,NA,0.3759170967471518
IN2018_V06_176,176_0184,176_023,Sponges,2,16/12/2018 9:49,IN2018_V06_176,1b,1b,St Helens,66,148.7526765,-41.23009302,703.1775,Rock,Rock,184,176_0184,2.660161,23,QT,1,23,NA,0.7518341934943036
IN2018_V06_046,046_0465,046_043,Hydrocorals,1,29/11/2018 5:57,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2411175,-44.25635595,1299.1675,Rock,Rock,465,046_0465,8.771418109,43,QT,1,43,NA,0.1140066506434051
IN2018_V06_046,046_0465,046_043,Regular urchins,3,29/11/2018 5:57,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2411175,-44.25635595,1299.1675,Rock,Rock,465,046_0465,8.771418109,43,QT,1,43,NA,0.3420199519302153
IN2018_V06_046,046_0465,046_043,Sponges,2,29/11/2018 5:57,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2411175,-44.25635595,1299.1675,Rock,Rock,465,046_0465,8.771418109,43,QT,1,43,NA,0.2280133012868102
IN2018_V06_056,056_0247,056_040,Hydrocorals,1,30/11/2018 19:26,IN2018_V06_056,fished,1c,Sisters,70,147.2435838,-44.28077356,1118.1,Rock,Rock,247,056_0247,10.63603203,40,QT,1,40,NA,0.09402002524808116
IN2018_V06_056,056_0247,056_040,Black & Octocorals,50,30/11/2018 19:26,IN2018_V06_056,fished,1c,Sisters,70,147.2435838,-44.28077356,1118.1,Rock,Rock,247,056_0247,10.63603203,40,QT,1,40,NA,4.701001262404058
IN2018_V06_099,099_0208,099_032,Black & Octocorals,10,7/12/2018 12:13,IN2018_V06_099,2,2,slope,76,146.45275,-44.28712462,1476.50625,Rock,Rock,208,099_0208,11.38413243,32,QT,1,32,NA,0.878415642253733
IN2018_V06_099,099_0208,099_032,Regular urchins,2,7/12/2018 12:13,IN2018_V06_099,2,2,slope,76,146.45275,-44.28712462,1476.50625,Rock,Rock,208,099_0208,11.38413243,32,QT,1,32,NA,0.1756831284507466
IN2018_V06_099,099_0208,099_032,D.horridus,32,7/12/2018 12:13,IN2018_V06_099,2,2,slope,76,146.45275,-44.28712462,1476.50625,Rock,Rock,208,099_0208,11.38413243,32,QT,1,32,NA,2.8109300552119456
IN2018_V06_099,099_0208,099_032,Hydrocorals,1,7/12/2018 12:13,IN2018_V06_099,2,2,slope,76,146.45275,-44.28712462,1476.50625,Rock,Rock,208,099_0208,11.38413243,32,QT,1,32,NA,0.0878415642253733
IN2018_V06_179,179_0356,179_062,Hydrocorals,1,16/12/2018 17:09,IN2018_V06_179,1b,1b,St Helens,70,148.7491081,-41.22533989,864.998,Pebble - gravel,cobble - boulder,356,179_0356,3.685175142,62,QT,1,62,MG-Q,0.27135752344657493
IN2018_V06_179,179_0356,179_062,Sponges,2,16/12/2018 17:09,IN2018_V06_179,1b,1b,St Helens,70,148.7491081,-41.22533989,864.998,Pebble - gravel,cobble - boulder,356,179_0356,3.685175142,62,QT,1,62,MG-Q,0.5427150468931499
IN2018_V06_145,145_0240,145_023,Regular urchins,16,12/12/2018 3:43,IN2018_V06_145,2,2,z77,70,147.3936004,-44.25943991,1623.875,Rock,Rock,240,145_0240,4.975067796,23,QT,1,23,NA,3.216036575996843
IN2018_V06_145,145_0240,145_023,Hydrocorals,1,12/12/2018 3:43,IN2018_V06_145,2,2,z77,70,147.3936004,-44.25943991,1623.875,Rock,Rock,240,145_0240,4.975067796,23,QT,1,23,NA,0.2010022859998027
IN2018_V06_128,128_0070,128_007,Unstalked crinoids,1,10/12/2018 5:44,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1878927,-44.18717342,894.7333333,Coral rubble,Coral rubble,70,128_0070,6.663496891,7,QT,1,7,NA,0.15007135387886833
IN2018_V06_128,128_0070,128_007,Regular urchins,1,10/12/2018 5:44,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1878927,-44.18717342,894.7333333,Coral rubble,Coral rubble,70,128_0070,6.663496891,7,QT,1,7,NA,0.15007135387886833
IN2018_V06_128,128_0070,128_007,Hydrocorals,1,10/12/2018 5:44,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1878927,-44.18717342,894.7333333,Coral rubble,Coral rubble,70,128_0070,6.663496891,7,QT,1,7,NA,0.15007135387886833
IN2018_V06_128,128_0070,128_007,Black & Octocorals,44,10/12/2018 5:44,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1878927,-44.18717342,894.7333333,Coral rubble,Coral rubble,70,128_0070,6.663496891,7,QT,1,7,NA,6.603139570670207
IN2018_V06_128,128_0070,128_007,Stalked crinoids,1,10/12/2018 5:44,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1878927,-44.18717342,894.7333333,Coral rubble,Coral rubble,70,128_0070,6.663496891,7,QT,1,7,NA,0.15007135387886833
IN2018_V06_128,128_0070,128_007,Sponges,21,10/12/2018 5:44,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1878927,-44.18717342,894.7333333,Coral rubble,Coral rubble,70,128_0070,6.663496891,7,QT,1,7,NA,3.151498431456235
IN2018_V06_063,063_0013,063_035,Sponges,12,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,1022.7,Coral reef substrate,Coral reef substrate,13,063_0013,10.76387174,35,QT,1,35,NA,1.1148404858268963
IN2018_V06_063,063_0013,063_035,S.variabilis,20,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,1022.7,Coral reef substrate,Coral reef substrate,13,063_0013,10.76387174,35,QT,1,35,NA,1.8580674763781604
IN2018_V06_063,063_0013,063_035,Hydrocorals: Branching,2,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,1022.7,Coral reef substrate,Coral reef substrate,13,063_0013,10.76387174,35,QT,1,35,NA,0.18580674763781604
IN2018_V06_063,063_0013,063_035,Black & Octocorals,12,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,1022.7,Coral reef substrate,Coral reef substrate,13,063_0013,10.76387174,35,QT,1,35,NA,1.1148404858268963
IN2018_V06_063,063_0013,063_035,Solenosmilia matrix,100,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,1022.7,Coral reef substrate,Coral reef substrate,13,063_0013,10.76387174,35,QT,1,35,NA,9.290337381890803
IN2018_V06_063,063_0013,063_035,Hydrocorals,1,1/12/2018 13:10,IN2018_V06_063,1a,1a,z16,43,147.0683544,-44.28944005,1022.7,Coral reef substrate,Coral reef substrate,13,063_0013,10.76387174,35,QT,1,35,NA,0.09290337381890802
IN2018_V06_083,083_0458,083_009,Black & Octocorals,2,5/12/2018 20:36,IN2018_V06_083,1b,1b,Main Matt,83,146.2053998,-44.21341828,949.19375,Rock,Rock,458,083_0458,3.120992157,9,QT,1,9,NA,0.6408218602902436
IN2018_V06_083,083_0458,083_009,Sponges,2,5/12/2018 20:36,IN2018_V06_083,1b,1b,Main Matt,83,146.2053998,-44.21341828,949.19375,Rock,Rock,458,083_0458,3.120992157,9,QT,1,9,NA,0.6408218602902436
IN2018_V06_083,083_0458,083_009,Hydrocorals,1,5/12/2018 20:36,IN2018_V06_083,1b,1b,Main Matt,83,146.2053998,-44.21341828,949.19375,Rock,Rock,458,083_0458,3.120992157,9,QT,1,9,NA,0.3204109301451218
IN2018_V06_097,097_0382,097_039,No-VMEfauna,0,7/12/2018 5:25,IN2018_V06_097,1b,1b,Main Matt,64,146.1607612,-44.21326088,1081.428571,Sand - mud (<2mm),Sand - mud (<2mm),382,097_0382,3.922716942,39,QT,1,39,NA,0
IN2018_V06_128,128_0131,128_022,Unstalked crinoids,1,10/12/2018 5:49,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1875823,-44.18555286,994.8,Coral rubble,Coral rubble,131,128_0131,13.88902333,22,QT,1,22,NA,0.07199930306402617
IN2018_V06_128,128_0131,128_022,Enallopsammia,4,10/12/2018 5:49,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1875823,-44.18555286,994.8,Coral rubble,Coral rubble,131,128_0131,13.88902333,22,QT,1,22,NA,0.2879972122561047
IN2018_V06_128,128_0131,128_022,Sponges,5,10/12/2018 5:49,IN2018_V06_128,1b,1b,Punch's Hill,22,147.1875823,-44.18555286,994.8,Coral rubble,Coral rubble,131,128_0131,13.88902333,22,QT,1,22,NA,0.35999651532013083
